Regulation_ID,Source
SWE_IND,https://www.newdelhiairport.in/pdf/RevisedGuidelinesforInternationalArrivaldated20thJanuary2022-new-21-01-22.pdf
SWE_IND,https://www.newdelhiairport.in/airsuvidha/apho-registration
SWE_IND,https://www.civilaviation.gov.in/sites/default/files/State_wise_quarantine_regulation-converted.pdf
SWE,https://polisen.se/en/the-swedish-police/the-coronavirus-and-the-swedish-police/travel-to-and-from-sweden/#exempted
SWE_HKG,https://www.coronavirus.gov.hk/eng/inbound-travel.html
SWE_HKG,"https://www.coronavirus.gov.hk/eng/public-transport-faq.html#:~:text=The%20Regulation%20requires%20that%20all,that%20is%20not%20in%20service)"
SWE_TUR,https://www.visasturkey.com/travel-and-entry-restrictions/
SWE_TUR,https://www.visasturkey.com/vaccinations-for-turkey/
SWE_AUT,https://www.austria.info/en/service-and-facts/coronavirus-information/entry-regulations
SWE_AUT,"https://www.austria.info/en/service-and-facts/coronavirus-information#:~:text=The%20Austrian%20Covid%20rules%20from%2019%20February%20to%204%20March&text=FFP2%20masks%20remain%20mandatory%20in,is%20valid%20for%20270%20days."
SWE_BEL,https://www.info-coronavirus.be/en/
SWE_BGR,https://europa.eu/youreurope/citizens/travel/travel-and-covid/bulgaria/index_en.htm
SWE_HRV,https://mup.gov.hr/uzg-covid/english/286212
SWE_HRV,https://hr.usembassy.gov/covid-19-information/
SWE_CYP,https://www.pio.gov.cy/coronavirus/eng
SWE_CZE,https://www.mvcr.cz/mvcren/article/coronavirus-information-of-moi.aspx
SWE_DNK,https://en.coronasmitte.dk/travel-rules/covidtravelrules
SWE_ENT,https://vm.ee/en/information-countries-and-self-isolation-requirements-passengers
SWE_ENT,https://kriis.ee/en/travelling-crossing-state-border/travelling-estonia/coming-estonia
SWE_FIN,"https://valtioneuvosto.fi/en/information-on-coronavirus/current-restrictions/travel-to-and-from-finland#:~:text=Entry%20into%20the%20country%20is,right%20to%20return%20to%20Finland."
SWE_FRA,https://www.diplomatie.gouv.fr/en/coming-to-france/coming-to-france-your-covid-19-questions-answered/
SWE_FRA,https://www.interieur.gouv.fr/covid-19-international-travel
SWE_DEU,"https://www.auswaertiges-amt.de/en/visa-service/EinreiseUndAufenthalt#:~:text=Due%20to%20the%20COVID%2D19,on%20the%20place%20of%20departure."
SWE_GRC,https://www.gov.uk/foreign-travel-advice/greece/entry-requirements
SWE_GRC,https://travel.gov.gr/#/
SWE_HUN,https://www.police.hu/en/content/information-on-general-rules-of-border-crossing
SWE_HUN,https://konzuliszolgalat.kormany.hu/en
SWE_IRL,https://www.citizensinformation.ie/en/travel_and_recreation/travel_to_ireland/travel_to_ireland_during_covid.html
SWE_ITA,https://www.salute.gov.it/portale/nuovocoronavirus/dettaglioContenutiNuovoCoronavirus.jsp?lingua=english&id=5412&area=nuovoCoronavirus&menu=vuoto
SWE_LVA,https://www.mfa.gov.lv/en/information-travellers-latvia-provisions-preventing-spread-covid-19
SWE_LTU,https://www.govilnius.lt/media-news/important-information-regarding-the-coronavirus
SWE_LUX,https://covid19.public.lu/en/travellers/visiting-luxembourg.html
SWE_MLT,https://deputyprimeminister.gov.mt/en/health-promotion/covid-19/Pages/travel.aspx
SWE_NLD,https://www.government.nl/topics/coronavirus-covid-19/visiting-the-netherlands-from-abroad/self-quarantine
SWE_NLD,https://www.government.nl/topics/coronavirus-covid-19/visiting-the-netherlands-from-abroad/checklist-entry
SWE_POL,https://www.gov.pl/web/coronavirus/travel
SWE_PRT,https://www.visitportugal.com/en/content/covid-19-measures-implemented-portugal
SWE_ROU,https://europa.eu/youreurope/citizens/travel/travel-and-covid/romania/index_en.htm
SWE_SVK,https://korona.gov.sk/en/travelling-to-slovakia-and-covid19/
SWE_SVN,"https://www.gov.si/en/topics/coronavirus-disease-covid-19/border-crossing/#:~:text=Useful%20links-,As%20of%2019%20February%202022%2C%20restrictions%20due%20to%20Covid%2D19,ordered%20to%20quarantine%20at%20home."
SWE_ESP,https://travelsafe.spain.info/en/
